# sample1 			| sample2 			| total SNPs 	| mismatched SNPs 	| mismatch % 	| Hom Hom (ex: 00 11) 	| Hom Homs % 	| Het Hom Lap (ex: 00 01) 	| Het Hom Lap % 	| Het Hom non Lap (ex 00 12) 	| Het Hom non Lap % 	| Het Het (ex: 01 12 or 01 23) 	| Het Het %
Ceyx.erit.KU.23309  | Ceyx.erit.KU.12774 | 2732          | 614               | 22.47%        | 299                   | 10.94%        | 315                       | 11.53%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.KU.12796 | 2733          | 615               | 22.50%        | 286                   | 10.46%        | 329                       | 12.04%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.KU.19295 | 2700          | 606               | 22.44%        | 311                   | 11.52%        | 295                       | 10.93%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.KU.19310 | 2784          | 602               | 21.62%        | 316                   | 11.35%        | 286                       | 10.27%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.KU.19363 | 2723          | 593               | 21.78%        | 314                   | 11.53%        | 279                       | 10.25%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.38586 | 2726          | 626               | 22.96%        | 276                   | 10.12%        | 350                       | 12.84%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.51075 | 2738          | 592               | 21.62%        | 289                   | 10.56%        | 303                       | 11.07%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.51088 | 2748          | 630               | 22.93%        | 295                   | 10.74%        | 335                       | 12.19%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.47161 | 2392          | 520               | 21.74%        | 247                   | 10.33%        | 273                       | 11.41%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.47231 | 2722          | 639               | 23.48%        | 299                   | 10.98%        | 340                       | 12.49%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.51008 | 2704          | 641               | 23.71%        | 282                   | 10.43%        | 359                       | 13.28%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.51025 | 2607          | 609               | 23.36%        | 269                   | 10.32%        | 340                       | 13.04%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.58557 | 2765          | 656               | 23.73%        | 293                   | 10.60%        | 363                       | 13.13%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.58647 | 2694          | 609               | 22.61%        | 250                   | 9.28%         | 359                       | 13.33%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.74725 | 2534          | 591               | 23.32%        | 261                   | 10.30%        | 330                       | 13.02%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.78748 | 2744          | 649               | 23.65%        | 276                   | 10.06%        | 373                       | 13.59%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.LSU.47126 | 2801          | 632               | 22.56%        | 291                   | 10.39%        | 341                       | 12.17%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.S07-1C  | 2743          | 595               | 21.69%        | 322                   | 11.74%        | 273                       | 9.95%             | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.UW-67478 | 1355          | 269               | 19.85%        | 149                   | 11.00%        | 120                       | 8.86%             | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.23309  | Ceyx.erit.UW-67495 | 1592          | 331               | 20.79%        | 182                   | 11.43%        | 149                       | 9.36%             | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.KU.12346 | 2569          | 562               | 21.88%        | 263                   | 10.24%        | 299                       | 11.64%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.KU.12359 | 2643          | 624               | 23.61%        | 264                   | 9.99%         | 360                       | 13.62%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.KU.12370 | 2559          | 590               | 23.06%        | 249                   | 9.73%         | 341                       | 13.33%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.LSU.57033 | 2601          | 596               | 22.91%        | 266                   | 10.23%        | 330                       | 12.69%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.LSU.57040 | 2642          | 620               | 23.47%        | 263                   | 9.95%         | 357                       | 13.51%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.LSU.57065 | 2488          | 549               | 22.07%        | 249                   | 10.01%        | 300                       | 12.06%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.KU.12576 | 2653          | 590               | 22.24%        | 282                   | 10.63%        | 308                       | 11.61%            | 0                             | 0.00%                 | 0                             | 0.00%              
Ceyx.erit.KU.14306  | Ceyx.erit.KU.12622 | 2539          | 558               | 21.98%        | 246                   | 9.69%         | 312                       | 12.29%            | 0                             | 0.00%                 | 0                             | 0.00%              
